Class,Desc,Type
1,oil-bleaching chemicals,specific
1,oil-purifying chemicals,specific
1,humus,specific
1,hydrates,specific
1,carbonic hydrates,specific
1,hydrazine,specific
1,hydrogen,specific
1,hypochlorite of soda,specific
1,hyposulfites,specific
1,textile-waterproofing chemicals,specific
1,textile-impregnating chemicals,specific
1,leather-waterproofing chemicals,specific
1,iodine for chemical purposes,specific
1,iodised salts,specific
1,iodic acid,specific
1,iodine for industrial purposes,specific
1,isotopes for industrial purposes,specific
1,kaolin / china slip / china clay,specific
1,kieselgur,specific
1,krypton,specific
1,lactic acid,specific
1,milk ferments for chemical purposes,specific
1,lanthanum,specific
1,preparations for preventing the tarnishing of lenses,specific
1,lithia [lithium oxide],specific
1,lithium,specific
1,"masonry preservatives, except paints and oils",specific
1,"brickwork preservatives, except paints and oils",specific
1,magnesite,specific
1,magnesium chloride,specific
1,manganate,specific
1,mangrove bark for industrial purposes,specific
1,glass-frosting chemicals,specific
1,mercury,specific
1,mercury salts,specific
1,mercuric oxide,specific
1,metalloids,specific
1,salts of precious metals for industrial purposes,specific
1,metal annealing preparations,specific
1,methane,specific
1,chemical preparations to prevent mildew,specific
1,mineral acids,specific
1,salts for industrial purposes,specific
1,moistening [wetting] preparations for use in dyeing / wetting preparations for use in dyeing,specific
1,naphthalene,specific
1,neodymium,specific
1,neon,specific
1,neptunium,specific
1,toxic gas neutralizers,specific
1,chemical preparations to prevent wheat blight / chemical preparations to prevent wheat smut,specific
1,uranium nitrate,specific
1,sensitized plates for offset printing,specific
1,oleic acid,specific
1,olivine [silicate mineral],specific
1,gold salts,specific
1,sorrel salt,specific
1,oxalates,specific
1,oxalic acid,specific
1,oxygen for industrial purposes,specific
1,hydrogen peroxide for industrial purposes,specific
1,palladium chloride,specific
1,nitrate paper,specific
1,photometric paper,specific
1,sensitized paper,specific
1,litmus paper,specific
1,pectin [photography],specific
1,perborate of soda,specific
1,percarbonates,specific
1,perchlorates,specific
1,persulfates,specific
1,persulfuric acid,specific
1,phenol for industrial purposes,specific
1,phosphates [fertilizers] / phosphates [fertilisers],specific
1,slag [fertilizers] / slag [fertilisers],specific
1,phosphatides,specific
1,phosphorus,specific
1,superphosphates [fertilizers] / superphosphates [fertilisers],specific
1,blueprint paper,specific
1,phosphoric acid,specific
1,blueprint cloth,specific
1,photographic developers,specific
1,photographic sensitizers,specific
1,picric acid,specific
1,"plastics, unprocessed",specific
1,plastisols,specific
1,lead acetate,specific
1,lead oxide,specific
1,plutonium,specific
1,polonium,specific
1,potato flour for industrial purposes,specific
1,peat pots for horticulture,specific
1,potash,specific
1,potassium,specific
1,potash water,specific
1,praseodymium,specific
1,promethium,specific
1,protactinium,specific
1,protein [raw material],specific
1,pyrogallic acid,specific
1,quebracho for industrial purposes,specific
1,"synthetic resins, unprocessed / artificial resins, unprocessed",specific
1,radioactive elements for scientific purposes,specific
1,radon,specific
1,radium for scientific purposes,specific
1,refrigerants,specific
1,by-products of the processing of cereals for industrial purposes,specific
1,"acrylic resins, unprocessed",specific
1,rhenium,specific
1,"X-ray films, sensitized but not exposed",specific
1,compositions for repairing tyres / compositions for repairing tires,specific
1,rubidium,specific
1,foundry sand,specific
1,salicylic acid,specific
1,saltpeter / salpetre,specific
1,samarium,specific
1,sauce for preparing tobacco,specific
1,soap [metallic] for industrial purposes,specific
1,scandium,specific
1,sebacic acid,specific
1,salts [chemical preparations],specific
1,"salt, raw",specific
1,chromic salts,specific
1,salts [fertilizers] / salts [fertilisers],specific
1,selenium,specific
1,seed preserving substances,specific
1,silicates,specific
1,silicon,specific
1,silicones,specific
1,sodium,specific
1,sulfides,specific
1,soldering chemicals / welding chemicals,specific
1,calcined soda,specific
1,caustics for industrial purposes,specific
1,caustic soda for industrial purposes,specific
1,sodium salts [chemical compounds],specific
1,sulfur,specific
1,bismuth subnitrate for chemical purposes,specific
1,barytes,specific
1,spinel [oxide mineral],specific
1,stearic acid,specific
1,strontium,specific
1,soot for industrial or agricultural purposes,specific
1,liquids for removing sulfates from batteries / liquids for removing sulfates from accumulators,specific
1,sulfonic acids,specific
1,sulfurous acid,specific
1,sulfuric acid,specific
1,sumac for use in tanning,specific
1,"chemicals for use in forestry, except fungicides, herbicides, insecticides and parasiticides",specific
1,talc [magnesium silicate],specific
1,tan,specific
1,tannin,specific
1,tanning substances,specific
1,calcium salts,specific
1,tannic acid,specific
1,tapioca flour for industrial purposes,specific
1,"tartar, other than for pharmaceutical purposes",specific
1,tartaric acid,specific
1,technetium,specific
1,tellurium,specific
1,tensio-active agents / surface-active chemical agents,specific
1,terbium,specific
1,glass-staining chemicals,specific
1,preparations for preventing the tarnishing of glass,specific
1,anti-tarnishing chemicals for windows,specific
1,soil for growing,specific
1,fuller's earth for use in the textile industry,specific
1,rare earths,specific
1,loam,specific
1,carbon tetrachloride,specific
1,tetrachlorides,specific
1,moistening [wetting] preparations for use in the textile industry / wetting preparations for use in the textile industry,specific
1,thallium,specific
1,thiocarbanilide,specific
1,thulium,specific
1,thorium,specific
1,titanium dioxide for industrial purposes,specific
1,titanite,specific
1,toluol / toluene,specific
1,peat [fertilizer] / peat [fertiliser],specific
1,"preservatives for tiles, except paints and oils",specific
1,tungstic acid,specific
1,uranium,specific
1,uranium oxide,specific
1,water glass [soluble glass],specific
1,meat tenderizers for industrial purposes,specific
1,chemical preparations to prevent diseases affecting vine plants,specific
1,vinic alcohol,specific
1,toning salts [photography],specific
1,vulcanizing preparations,specific
1,witherite,specific
1,xenon,specific
1,ytterbium,specific
1,yttrium,specific
1,chlorides,specific
1,sulfates,specific
1,zirconia,specific
1,preparations for stimulating cooking for industrial purposes,specific
1,ammonia [volatile alkali] for industrial purposes / volatile alkali [ammonia] for industrial purposes,specific
1,alkaline iodides for industrial purposes,specific
1,alkaline metals,specific
1,salts of alkaline metals,specific
1,alkaloids*,specific
1,alginates for industrial purposes,specific
1,aluminium acetate*,specific
1,"starch paste [adhesive], other than for stationery or household purposes",specific
1,ammonium salts,specific
1,animal carbon,specific
1,silver nitrate,specific
1,colour-brightening chemicals for industrial purposes / color-brightening chemicals for industrial purposes,specific
1,anti-sprouting preparations for vegetables,specific
1,nitrates,specific
1,adhesives for wall tiles,specific
1,barium sulfate,specific
1,chemicals for the manufacture of paints,specific
1,methyl benzol,specific
1,methyl benzene,specific
1,bicarbonate of soda for chemical purposes,specific
1,"biological preparations, other than for medical or veterinary purposes",specific
1,decolorants for industrial purposes / bleaching preparations [decolorants] for industrial purposes,specific
1,"sensitized films, unexposed",specific
1,preparations of the distillation of wood alcohol,specific
1,brazing fluxes,specific
1,soldering fluxes,specific
1,bromine for chemical purposes,specific
1,carbolineum for the protection of plants,specific
1,flocculants,specific
1,lecithin [raw material],specific
1,substrates for soil-free growing [agriculture],specific
1,cellulose esters for industrial purposes,specific
1,casein for industrial purposes,specific
1,cellulose derivatives [chemicals],specific
1,cellulose ethers for industrial purposes,specific
1,"bacterial preparations, other than for medical and veterinary use",specific
1,"bacteriological preparations, other than for medical and veterinary use",specific
1,"cultures of microorganisms, other than for medical and veterinary use",specific
1,carbon black for industrial purposes,specific
1,"cinematographic film, sensitized but not exposed / cinematographic films, sensitized but not exposed",specific
1,cobalt oxide for industrial purposes,specific
1,glue for industrial purposes,specific
1,oils for currying leather,specific
1,creosote for chemical purposes,specific
1,compositions for the manufacture of phonograph records,specific
1,preparations for the separation of greases,specific
1,dispersions of plastics,specific
1,solvents for varnishes,specific
1,artificial sweeteners for industrial purposes,specific
1,water-purifying chemicals,specific
1,emollients for industrial purposes,specific
1,filtering materials of unprocessed plastics,specific
1,filtering materials of chemical substances,specific
1,filtering materials of mineral substances,specific
1,filtering materials of vegetable substances,specific
1,glucose for industrial purposes,specific
1,"gluten [glue], other than for stationery or household purposes",specific
1,gums [adhesives] for industrial purposes,specific
1,"damp-proofing chemicals, except paints, for masonry",specific
1,"isinglass, other than for stationery, household or alimentary purposes",specific
1,beer preserving agents,specific
1,synthetic materials for absorbing oil,specific
1,"ceramic materials in particulate form, for use as filtering media",specific
1,compost,specific
1,compositions for the manufacture of technical ceramics,specific
1,diatomaceous earth,specific
1,mordants for metals,specific
1,plant growth regulating preparations,specific
1,"descaling preparations, other than for household purposes",specific
1,seawater for industrial purposes,specific
1,preparations of trace elements for plants,specific
1,"camphor, for industrial purposes",specific
1,chemical intensifiers for paper,specific
1,chemical intensifiers for rubber,specific
1,humus top dressing,specific
1,magnetic fluid for industrial purposes,specific
1,power steering fluid,specific
1,transmission fluid,specific
1,anti-boil preparations for engine coolants,specific
1,ceramic compositions for sintering [granules and powders],specific
1,coolants for vehicle engines,specific
1,radiator flushing chemicals,specific
1,paste fillers for automobile body repair / paste fillers for car body repair,specific
1,electrophoresis gels,specific
1,glaziers' putty,specific
1,expanded clay for hydroponic plant growing [substrate],specific
1,wallpaper removing preparations,specific
1,chemical additives for oils,specific
1,oil cement [putty],specific
1,genes of seeds for agricultural production,specific
1,"stem cells, other than for medical or veterinary purposes",specific
1,"biological tissue cultures, other than for medical or veterinary purposes",specific
1,fish meal fertilizers / fish meal fertilisers,specific
1,enzyme preparations for the food industry,specific
1,enzymes for the food industry,specific
1,glucose for the food industry,specific
1,lecithin for the food industry,specific
1,lecithin for industrial purposes,specific
1,pectin for the food industry,specific
1,pectin for industrial purposes,specific
1,cream of tartar for the food industry,specific
1,cream of tartar for industrial purposes,specific
1,alginates for the food industry,specific
1,gluten for the food industry,specific
1,gluten for industrial purposes,specific
1,lactose for the food industry,specific
1,lactose for industrial purposes,specific
1,lactose [raw material],specific
1,milk ferments for the food industry,specific
1,milk ferments for industrial purposes,specific
1,casein for the food industry,specific
1,sal ammoniac spirits,specific
1,chemicals for the manufacture of pigments,specific
1,"preparations of microorganisms, other than for medical and veterinary use",specific
1,potting soil,specific
1,metal tempering preparations,specific
1,glutamic acid for industrial purposes,specific
1,tea extracts for use in the manufacture of pharmaceuticals,specific
1,tea extracts for the food industry,specific
1,organic digestate [fertilizer] / organic digestate [fertiliser],specific
1,tea extracts for use in the manufacture of cosmetics,specific
1,collagen for industrial purposes,specific
1,silicon carbide [raw material],specific
1,"adjuvants, other than for medical or veterinary purposes",specific
1,vitamins for use in the manufacture of food supplements,specific
1,vitamins for the food industry,specific
1,antioxidants for use in manufacture,specific
1,antioxidants for use in the manufacture of cosmetics,specific
1,antioxidants for use in the manufacture of pharmaceuticals,specific
1,antioxidants for use in the manufacture of food supplements,specific
1,proteins for use in manufacture,specific
1,proteins for use in the manufacture of food supplements,specific
1,proteins for the food industry,specific
1,ammonium nitrate,specific
1,vitamins for use in the manufacture of pharmaceuticals,specific
1,vitamins for use in the manufacture of cosmetics,specific
1,flavonoids [phenolic compounds] for industrial purposes,specific
1,thymol for industrial purposes,specific
1,topsoil,specific
1,transmission oil,specific
1,"polymer resins, unprocessed",specific
1,chemical coatings for ophthalmic lenses,specific
1,calomel [mercurous chloride],specific
1,animal manure,specific
1,xylol,specific
1,xylene,specific
1,benzene,specific
1,benzol,specific
1,graphene,specific
1,gypsum for use as a fertilizer,specific
1,nanopowders for industrial purposes,specific
1,dendrimer-based polymers for use in the manufacture of capsules for pharmaceuticals,specific
1,chemical preparations to prevent diseases affecting cereal plants,specific
1,biostimulants for plants,specific
1,"conductive resins, unprocessed",specific
1,conductive adhesives,specific
1,lye water for the food industry,specific
1,yeast for scientific purposes,specific
1,yeast for use in biofuel production,specific
1,thermal paste,specific
1,"diagnostic strips for testing breast milk, other than for medical or veterinary use",specific
1,plant extracts for the food industry,specific
1,plant extracts for use in the manufacture of cosmetics,specific
1,plant extracts for use in the manufacture of pharmaceuticals,specific
1,active chemical ingredients,specific
1,carbon dioxide for industrial purposes,specific
1,artificial sweeteners for the food industry,specific
1,saccharin for the food industry,specific
1,aspartame for industrial purposes,specific
1,aspartame for the food industry,specific
10,abdominal belts,specific
10,hypogastric belts,specific
10,abdominal corsets,specific
10,childbirth mattresses,specific
10,hearing aids,specific
10,ear trumpets,specific
10,"clips, surgical",specific
10,needles for medical purposes,specific
10,suture needles,specific
10,pessaries,specific
10,hot air therapeutic apparatus,specific
10,hot air vibrators for medical purposes,specific
10,draw-sheets for sick beds,specific
10,incontinence sheets,specific
10,catheters,specific
10,radium tubes for medical purposes,specific
10,teething rings,specific
10,orthopaedic bandages for joints / orthopedic bandages for joints,specific
10,"splints, surgical",specific
10,"bandages, elastic",specific
10,galvanic belts for medical purposes,specific
10,X-ray apparatus for medical purposes,specific
10,bed pans,specific
10,basins for medical purposes,specific
10,obstetric apparatus for cattle,specific
10,feeding bottles / babies' bottles,specific
10,knives for surgical purposes,specific
10,scalpels,specific
10,boots for medical purposes,specific
10,surgical bougies,specific
10,spittoons for medical purposes,specific
10,catgut,specific
10,"stretchers, wheeled / gurneys, wheeled",specific
10,ambulance stretchers,specific
10,orthopedic articles / orthopaedic articles,specific
10,trusses / hernia bandages,specific
10,arch supports for footwear,specific
10,strait jackets,specific
10,cannulae,specific
10,gloves for medical purposes,specific
10,appliances for washing body cavities,specific
10,belts for medical purposes,specific
